Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
30183032,03/15/2015 06:49:00 PM,,DSNY,P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11222.0,55 ECKFORD STREET,ECKFORD STREET,ENGERT AVENUE,DRIGGS AVENUE,,,ADDRESS,BROOKLYN,,,Open,,,01 BROOKLYN,BROOKLYN,998655.0,202250.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7217945184291,-73.94803206673042,"(40.7217945184291, -73.94803206673042)"
30181166,03/15/2015 02:31:00 PM,,DSNY,BCC - Brooklyn North,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11222.0,967 MANHATTAN AVENUE,MANHATTAN AVENUE,JAVA STREET,INDIA STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Open,,,01 BROOKLYN,BROOKLYN,996834.0,206029.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73216972973404,-73.95459449591313,"(40.73216972973404, -73.95459449591313)"
30183191,03/15/2015 11:01:00 AM,,DEP,Department of Environmental Protection,Industrial Waste,Oil Spill Into Basin/Sewer - Large (IABL),,11222.0,,,,,WEST STREET,QUAY STREET,INTERSECTION,BROOKLYN,,,Open,,,01 BROOKLYN,BROOKLYN,995717.0,203850.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72619042639312,-73.95862856044127,"(40.72619042639312, -73.95862856044126)"
30182710,03/15/2015 09:49:00 AM,,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11222.0,68 OAK STREET,OAK STREET,WEST STREET,FRANKLIN STREET,,,ADDRESS,BROOKLYN,,,Open,,,01 BROOKLYN,BROOKLYN,995819.0,204384.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7276559934089,-73.95825963977559,"(40.727655993408895, -73.95825963977559)"
30185042,03/15/2015 09:17:00 AM,,DSNY,BCC - Brooklyn North,Derelict Bicycle,14B Derelict Bicycle,Street,11222.0,517 LEONARD STREET,LEONARD STREET,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Open,,,01 BROOKLYN,BROOKLYN,998306.0,202652.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72289847247303,-73.9492902903212,"(40.72289847247302, -73.9492902903212)"
30183830,03/15/2015 08:43:00 AM,,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11222.0,55 ECKFORD STREET,ECKFORD STREET,ENGERT AVENUE,DRIGGS AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Open,,,01 BROOKLYN,BROOKLYN,998655.0,202250.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7217945184291,-73.94803206673042,"(40.7217945184291, -73.94803206673042)"
30183775,03/15/2015 06:58:59 AM,03/15/2015 07:30:53 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11222.0,NEWELL STREET,NEWELL STREET,DRIGGS AVENUE,NASSAU AVENUE,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,03/15/2015 02:58:59 PM,03/15/2015 07:30:53 AM,01 BROOKLYN,BROOKLYN,998982.0,203007.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72387176139044,-73.94685071447216,"(40.72387176139044, -73.94685071447215)"
30175625,03/14/2015 02:44:00 PM,,DSNY,BCC - Brooklyn North,Missed Collection (All Materials),1R Missed Recycling-All Materials,Sidewalk,11222.0,415 LEONARD STREET,LEONARD STREET,RICHARDSON STREET,BAYARD STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Open,,,01 BROOKLYN,BROOKLYN,998522.0,201227.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71898684605449,-73.94851405080547,"(40.71898684605449, -73.94851405080547)"
30175952,03/14/2015 12:43:00 AM,,DEP,Department of Environmental Protection,Hazardous Materials,Chemical Odor (HD1),,11222.0,,,,,PAIDGE AVENUE,PROVOST STREET,INTERSECTION,BROOKLYN,,,Open,,,01 BROOKLYN,BROOKLYN,998050.0,207682.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.736704993255756,-73.95020354324855,"(40.736704993255756, -73.95020354324855)"
30174128,03/13/2015 10:38:08 PM,,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11222.0,121 OAK STREET,OAK STREET,FRANKLIN STREET,GUERNSEY STREET,,,ADDRESS,BROOKLYN,,,Open,03/23/2015 10:38:08 PM,,01 BROOKLYN,BROOKLYN,996442.0,204467.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7278829713956,-73.95601173763322,"(40.7278829713956, -73.95601173763322)"
